# death rates (female) - taken from Myanmar life tables, 2021 (Myanmar NSO)
# columns:
#   0=age
#   1=death rate (proportion of individuals dying between age x and age x+1
0 0.0317
1 0.003
2 0.003
3 0.003
4 0.003
5 0.0008
6 0.0008
7 0.0008
8 0.0008
9 0.0008
10 0.0006
11 0.0006
12 0.0006
13 0.0006
14 0.0006
15 0.0006
16 0.0006
17 0.0006
18 0.0006
19 0.0006
20 0.0009
21 0.0009
22 0.0009
23 0.0009
24 0.0009
25 0.0012
26 0.0012
27 0.0012
28 0.0012
29 0.0012
30 0.0016
31 0.0016
32 0.0016
33 0.0016
34 0.0016
35 0.0022
36 0.0022
37 0.0022
38 0.0022
39 0.0022
40 0.0031
41 0.0031
42 0.0031
43 0.0031
44 0.0031
45 0.0045
46 0.0045
47 0.0045
48 0.0045
49 0.0045
50 0.0069
51 0.0069
52 0.0069
53 0.0069
54 0.0069
55 0.0102
56 0.0102
57 0.0102
58 0.0102
59 0.0102
60 0.0161
61 0.0161
62 0.0161
63 0.0161
64 0.0161
65 0.0258
66 0.0258
67 0.0258
68 0.0258
69 0.0258
70 0.0403
71 0.0403
72 0.0403
73 0.0403
74 0.0403
75 0.0631
76 0.0631
77 0.0631
78 0.0631
79 0.0631
80 0.1145
81 0.1145
82 0.1145
83 0.1145
84 0.1145
85 0.1555
86 0.1555
87 0.1555
88 0.1555
89 0.1555
90 0.1555
91 0.1555
92 0.1555
93 0.1555
94 0.1555
95 0.1555
96 0.1555
97 0.1555
98 0.1555
99 0.1555
100 100
