0.0338 0
0.0338 1
0.0338 2
0.0338 3
0.0338 4
0.0306 5
0.0306 6
0.0306 7
0.0306 8
0.0306 9
0.027 10
0.027 11
0.027 12
0.027 13
0.027 14
0.0226 15
0.0226 16
0.0226 17
0.0226 18
0.0226 19
0.016 20
0.016 21
0.016 22
0.016 23
0.016 24
0.0146 25
0.0146 26
0.0146 27
0.0146 28
0.0146 29
0.0098 30
0.0098 31
0.0098 32
0.0098 33
0.0098 34
0.0098 35
0.0098 36
0.0098 37
0.0098 38
0.0098 39
0.008 40
0.008 41
0.008 42
0.008 43
0.008 44
0.0072 45
0.0072 46
0.0072 47
0.0072 48
0.0072 49
0.0048 50
0.0048 51
0.0048 52
0.0048 53
0.0048 54
0.005 55
0.005 56
0.005 57
0.005 58
0.005 59
0.0036 60
0.0036 61
0.0036 62
0.0036 63
0.0036 64
0.0028 65
0.0028 66
0.0028 67
0.0028 68
0.0028 69
0.002 70
0.002 71
0.002 72
0.002 73
0.002 74
0.0012 75
0.0012 76
0.0012 77
0.0012 78
0.0012 79
0.0005 80
0.0005 81
0.0005 82
0.0005 83
0.0005 84
0.0005 85
0.0005 86
0.0005 87
0.0005 88
0.0005 89
0.0001 90
0.0001 91
0.0001 92
0.0001 93
0.0001 94
0.0001 95
0.0001 96
0.0001 97
0.0001 98
0.0001 99
